name,E2015_16,E2016_17,E2017_18,E2018_19,E2019_20,MA2015_16,MA2016_17,MA2017_18,MA2018_19,MA2019_20,SUM2015_16,SUM2016_17,SUM2017_18,SUM2018_19,SUM2019_20,MED2015_16,MED2016_17,MED2017_18,MED2018_19,MED2019_20,MEAN2015_16,MEAN2016_17,MEAN2017_18,MEAN2018_19,MEAN2019_20
Alpine,"7,154","7,301","7,546","7,491","7,743",49,50,49,49,49,"317,000,000","331,922,611","358,183,434","369,363,316","392,552,438","36,669","37,350","38,607","41,286","41,010","44,247","45,463","47,467","49,308","50,698"
Ararat,"5,946","6,033","6,215","6,065","6,209",47,47,47,47,47,"270,000,000","297,678,219","307,736,470","333,285,248","341,302,802","39,668","41,614","43,190","46,574","46,504","45,459","49,342","49,515","54,952","54,969"
Ballarat,"53,932","55,603","57,540","59,169","61,059",43,43,43,42,42,"2,930,000,000","3,093,272,861","3,329,907,939","3,513,478,014","3,721,722,418","44,953","45,942","47,859","49,697","50,767","54,393","55,631","57,871","59,380","60,953"
Banyule,"72,824","74,032","76,202","77,190","76,933",43,43,43,43,43,"4,790,000,000","4,992,017,742","5,371,975,506","5,650,196,096","5,717,272,374","51,515","52,841","54,519","56,692","58,553","65,721","67,431","70,497","73,199","74,315"
Bass Coast,"16,986","17,795","18,630","19,107","20,333",49,49,49,49,49,"757,000,000","806,998,059","875,534,430","934,243,274","1,026,630,469","35,998","36,330","37,559","39,131","40,532","44,549","45,350","46,996","48,895","50,491"
Baw Baw,"26,913","28,054","29,050","29,950","31,204",46,46,46,45,45,"1,370,000,000","1,464,706,554","1,566,202,330","1,678,893,961","1,809,465,716","41,961","42,534","44,473","46,739","48,180","51,058","52,210","53,914","56,057","57,988"
Bayside,"62,817","64,242","65,596","66,051","66,168",48,48,48,48,49,"6,230,000,000","6,476,275,726","6,928,788,067","7,118,571,203","7,212,568,900","58,909","59,884","61,075","63,649","64,459","99,195","100,811","105,628","107,774","109,004"
Benalla,"7,438","7,530","7,673","7,743","7,961",50,50,50,50,50,"338,000,000","349,652,266","366,391,060","382,800,310","406,377,108","38,821","39,583","41,382","42,624","43,992","45,470","46,435","47,751","49,438","51,046"
Boroondara,"109,911","112,506","115,441","116,188","116,179",45,45,45,45,45,"10,500,000,000","10,839,206,995","11,246,716,259","11,647,862,987","11,716,065,343","57,306","57,294","58,284","60,576","60,701","95,770","96,343","97,424","100,250","100,845"
Brimbank,"99,557","101,607","104,733","107,006","106,200",39,39,39,38,38,"4,840,000,000","5,044,496,780","5,346,002,556","5,593,337,753","5,672,586,819","42,978","43,443","44,657","45,981","46,673","48,627","49,647","51,044","52,271","53,414"
Buloke,"3,382","3,440","3,456","3,258","3,465",51,50,51,50,50,"116,000,000","157,399,048","173,789,186","154,021,790","186,092,340","28,980","36,990","40,377","40,287","43,642","34,346","45,756","50,286","47,275","53,706"
Campaspe,"20,822","21,062","21,378","21,396","21,807",46,47,47,46,47,"946,000,000","985,492,313","1,058,662,664","1,079,450,659","1,125,777,628","39,782","41,043","43,348","44,329","45,203","45,443","46,790","49,521","50,451","51,625"
Cardinia,"52,004","55,168","58,503","61,389","64,411",40,40,40,39,39,"2,830,000,000","3,055,492,506","3,359,605,863","3,638,043,332","3,881,207,435","47,316","48,261","49,998","52,068","52,595","54,332","55,385","57,426","59,262","60,257"
Casey,"161,779","170,611","179,915","189,336","196,042",40,39,39,39,39,"8,570,000,000","9,222,275,787","10,016,226,368","10,778,378,115","11,404,162,998","46,719","47,535","48,849","50,318","51,167","52,989","54,054","55,672","56,927","58,172"
Central Goldfields,"5,607","5,665","5,839","5,799","5,901",48,48,48,48,48,"224,000,000","238,027,931","254,981,439","263,345,351","271,836,677","35,144","36,418","38,497","39,934","40,585","40,020","42,017","43,669","45,412","46,066"
Colac-Otway,"12,418","12,694","13,013","13,157","13,301",46,46,46,45,46,"567,000,000","594,551,148","632,075,420","660,280,917","681,662,740","39,721","40,666","42,658","44,315","44,863","45,677","46,837","48,573","50,185","51,249"
Corangamite,"9,090","9,252","9,323","8,882","9,482",48,48,48,48,48,"401,000,000","416,791,395","432,102,045","452,986,418","516,939,165","37,852","37,867","39,678","43,281","45,675","44,116","45,049","46,348","51,000","54,518"
Darebin,"81,790","85,087","88,353","90,821","90,648",38,38,38,38,38,"4,870,000,000","5,215,204,959","5,612,703,509","6,034,588,900","6,279,052,866","48,679","49,829","51,258","53,719","55,636","59,598","61,293","63,526","66,445","69,269"
East Gippsland,"23,136","23,635","24,252","24,383","25,252",50,50,50,49,50,"1,040,000,000","1,081,381,367","1,111,696,970","1,161,103,349","1,249,446,341","37,018","37,743","38,352","40,028","41,133","44,876","45,753","45,839","47,619","49,479"
Frankston,"74,898","76,070","78,476","79,685","79,513",42,42,42,42,42,"4,040,000,000","4,218,309,004","4,506,323,021","4,725,987,479","4,837,464,900","47,260","48,613","50,037","52,003","52,932","53,979","55,453","57,423","59,308","60,839"
Gannawarra,"5,600","5,628","5,689","5,467","5,605",49,50,49,49,50,"226,000,000","230,481,779","263,403,941","256,502,518","270,467,362","35,804","36,650","39,492","40,999","42,157","40,388","40,953","46,301","46,918","48,255"
Glen Eira,"86,962","89,334","92,499","94,391","95,325",42,42,42,42,42,"6,390,000,000","6,716,749,866","7,089,188,944","7,514,939,107","7,755,205,038","53,099","54,054","55,256","57,375","59,170","73,518","75,187","76,641","79,615","81,355"
Glenelg,"10,535","10,655","10,907","10,929","11,131",48,49,48,48,48,"546,000,000","562,241,529","583,764,382","605,382,893","617,867,046","42,409","43,360","44,647","46,683","46,580","51,827","52,768","53,522","55,392","55,509"
Golden Plains,"12,145","12,778","13,317","13,518","13,953",44,44,45,44,44,"643,000,000","700,858,444","757,415,343","808,228,014","855,950,565","45,217","47,096","48,650","51,443","52,636","52,940","54,849","56,876","59,789","61,345"
Greater Bendigo,"59,396","61,292","63,107","64,450","66,437",44,44,44,43,43,"3,080,000,000","3,243,485,691","3,473,446,346","3,695,628,818","3,716,535,745","44,261","45,060","47,061","49,246","50,380","51,879","52,919","55,041","57,341","55,941"
Greater Dandenong,"75,264","78,601","82,443","85,560","86,201",38,37,37,37,37,"3,330,000,000","3,554,406,218","3,869,456,441","4,098,146,285","4,230,047,464","39,845","40,267","41,408","42,713","43,220","44,286","45,221","46,935","47,898","49,072"
Greater Geelong,"127,878","133,639","138,982","144,185","149,312",43,43,43,43,42,"7,140,000,000","7,701,583,134","8,243,482,999","8,875,606,891","9,307,143,176","45,141","46,551","48,258","50,385","51,228","55,829","57,630","59,313","61,557","62,334"
Greater Shepparton,"35,175","35,394","35,982","36,240","37,197",43,44,43,43,43,"1,700,000,000","1,747,419,291","1,845,930,547","1,926,873,862","2,035,573,219","41,806","42,398","44,307","46,195","46,821","48,405","49,370","51,301","53,170","54,724"
Hepburn,"8,084","8,377","8,527","8,466","8,927",49,49,50,50,50,"386,000,000","413,989,125","434,380,643","445,200,744","495,086,119","37,838","38,707","40,005","42,504","43,129","47,711","49,420","50,942","52,587","55,459"
Hindmarsh,"2,983","3,009","3,029","3,018","3,104",50,50,50,49,50,"116,000,000","146,835,554","170,733,395","180,536,176","193,004,691","36,147","42,626","46,228","47,113","49,326","38,828","48,799","56,366","59,820","62,179"
